Method,Dataset,Dim,Model,Accuracy,F1,AUC,TrainTime
Graph2Vec,IMDB-MULTI,dim128,SVM,0.4033333333333333,0.4016299708500508,0.5680499999999999,0.34438109397888184
Graph2Vec,IMDB-MULTI,dim128,LogisticRegression,0.39666666666666667,0.395439896388663,0.5606333333333333,0.09143710136413574
Graph2Vec,IMDB-MULTI,dim128,RandomForest,0.4166666666666667,0.41642374392693154,0.5915499999999999,0.3582031726837158
Graph2Vec,IMDB-MULTI,dim128,GradientBoosting,0.4266666666666667,0.42643332161939196,0.5833,21.487914085388184
Graph2Vec,IMDB-MULTI,dim128,MLP,0.4,0.3917082695394003,0.5650499999999999,0.41754579544067383
Graph2Vec,IMDB-MULTI,dim128,Ensemble,0.4066666666666667,0.4071687667048492,0.5800500000000001,18.853085041046143
Graph2Vec,IMDB-MULTI,dim256,SVM,0.43333333333333335,0.42624543685924765,0.5986833333333333,0.5376455783843994
Graph2Vec,IMDB-MULTI,dim256,LogisticRegression,0.4066666666666667,0.40339126403945763,0.5945666666666667,0.15447521209716797
Graph2Vec,IMDB-MULTI,dim256,RandomForest,0.4266666666666667,0.42299293861304504,0.5984166666666667,0.4323081970214844
Graph2Vec,IMDB-MULTI,dim256,GradientBoosting,0.4166666666666667,0.41517406712528665,0.5992333333333334,41.72870898246765
Graph2Vec,IMDB-MULTI,dim256,MLP,0.36666666666666664,0.36644660297784226,0.5516166666666668,0.48017191886901855
Graph2Vec,IMDB-MULTI,dim256,Ensemble,0.4266666666666667,0.4232987089881711,0.6037500000000001,31.472843408584595
