dataset,dim,epochs,lr,dropout,it_time_s,embed_time_s,total_time_s,train_acc,val_acc,test_acc,train_f1_macro,val_f1_macro,test_f1_macro,train_auc_macro,val_auc_macro,test_auc_macro,peak_tracemalloc_mb,rss_before_mb,rss_after_mb
ENZYMES,256,800,0.0005,0.4,15.891552209854126,0.09565353393554688,15.987205743789673,0.17954070981210857,0.26229508196721313,0.15,0.10107520868827706,0.13133133133133135,0.07685492801771872,0.5615732633270941,0.6425371360665478,0.5569999999999999,4.078351974487305,1712.05078125,1712.05078125
IMDB-MULTI,64,200,0.001,0.0,27.303630590438843,0.0955350399017334,27.399165630340576,0.4225,0.4666666666666667,0.3933333333333333,0.3821834535747264,0.4307500778089013,0.33888300999412113,0.6692062499999999,0.6389,0.5983999999999999,2.134439468383789,840.58984375,1685.08984375
IMDB-MULTI,64,200,0.001,0.4,18.979819536209106,0.1017909049987793,19.081610441207886,0.385,0.48,0.42,0.34307644030007367,0.45570636548080157,0.3799560465518477,0.6329380208333333,0.6642,0.6109333333333334,1.9015998840332031,1685.33984375,1699.33984375
IMDB-MULTI,64,200,0.0005,0.0,21.84070611000061,0.10140514373779297,21.942111253738403,0.44916666666666666,0.49333333333333335,0.36666666666666664,0.44875488207755937,0.4913585347380018,0.3552868698602238,0.6547166666666666,0.6568,0.5769666666666667,2.0926923751831055,1699.33984375,1699.46484375
IMDB-MULTI,64,200,0.0005,0.4,25.68968391418457,0.10439610481262207,25.794080018997192,0.4275,0.5333333333333333,0.37333333333333335,0.42747725196644154,0.5341484341484342,0.3701113701113701,0.6356098958333334,0.6891666666666666,0.5752666666666667,1.9355850219726562,1699.46484375,1700.33984375
IMDB-MULTI,64,500,0.001,0.0,35.71163463592529,0.09743380546569824,35.80906844139099,0.4725,0.49333333333333335,0.3333333333333333,0.4519884113817012,0.4792001649144506,0.3078323878600954,0.6581276041666667,0.6251666666666668,0.5445999999999999,1.9016218185424805,1700.33984375,1700.33984375
IMDB-MULTI,64,500,0.001,0.4,16.913191318511963,0.09578442573547363,17.008975744247437,0.415,0.49333333333333335,0.35333333333333333,0.4128945482813078,0.49209255021612003,0.3497487361123725,0.6265723958333334,0.6419666666666667,0.5586000000000001,1.9354515075683594,1700.33984375,1700.33984375
IMDB-MULTI,64,500,0.0005,0.0,14.785591125488281,0.1040811538696289,14.88967227935791,0.4083333333333333,0.49333333333333335,0.42,0.3971558963102862,0.4835014519007153,0.4041385515069726,0.611584375,0.6518333333333334,0.5779333333333334,1.895920753479004,1700.33984375,1700.33984375
IMDB-MULTI,64,500,0.0005,0.4,24.71655774116516,0.09642553329467773,24.81298327445984,0.42083333333333334,0.52,0.44,0.40450834072481984,0.4895620279906483,0.41562360403823817,0.6428098958333334,0.6659,0.6111333333333333,1.8966903686523438,1700.33984375,1700.33984375
IMDB-MULTI,128,200,0.001,0.0,16.342055559158325,0.10185027122497559,16.4439058303833,0.4191666666666667,0.48,0.38,0.39827973328922117,0.4596949891067538,0.3426557938185845,0.6250052083333334,0.6463333333333334,0.5955,2.9265995025634766,1700.33984375,1704.33984375
IMDB-MULTI,128,200,0.001,0.4,18.424253225326538,0.10266423225402832,18.526917457580566,0.4116666666666667,0.4866666666666667,0.3933333333333333,0.39365180071897515,0.4742306928727417,0.3614832535885168,0.6138390625,0.6489333333333334,0.6053333333333334,2.9794111251831055,1704.33984375,1705.46484375
IMDB-MULTI,128,200,0.0005,0.0,33.22546601295471,0.09652280807495117,33.32198882102966,0.5,0.5266666666666666,0.36666666666666664,0.49582015592030443,0.5222646110965944,0.3526395173453997,0.7116187500000001,0.6636333333333333,0.5781333333333333,3.0357666015625,1705.46484375,1705.46484375
IMDB-MULTI,128,200,0.0005,0.4,27.43502974510193,0.09795641899108887,27.532986164093018,0.455,0.5,0.38,0.44276366760057145,0.48924380704041726,0.3654639814738235,0.6429119791666668,0.6771666666666666,0.5791333333333334,2.8870506286621094,1705.46484375,1705.58984375
IMDB-MULTI,128,500,0.001,0.0,20.57490110397339,0.1000359058380127,20.6749370098114,0.4225,0.52,0.38666666666666666,0.41999623018982657,0.5218181818181818,0.36527717806490184,0.626315625,0.6874666666666666,0.5680666666666667,3.0346450805664062,1705.58984375,1707.21484375
IMDB-MULTI,128,500,0.001,0.4,19.171209812164307,0.10698986053466797,19.278199672698975,0.42333333333333334,0.4866666666666667,0.32,0.418137924331363,0.47843370728091433,0.31287122157908676,0.6242229166666667,0.6396000000000001,0.5494,2.8865909576416016,1707.21484375,1707.21484375
IMDB-MULTI,128,500,0.0005,0.0,26.54934024810791,0.10848116874694824,26.65782141685486,0.47833333333333333,0.4866666666666667,0.4533333333333333,0.4740333590561059,0.480839549510019,0.4481317795591318,0.6700750000000001,0.6572666666666667,0.6345333333333333,2.8899736404418945,1707.21484375,1707.21484375
IMDB-MULTI,128,500,0.0005,0.4,18.96049690246582,0.0999307632446289,19.06042766571045,0.43583333333333335,0.5066666666666667,0.44666666666666666,0.4276294898534278,0.5057724185781032,0.44118404118404114,0.6263755208333334,0.6762,0.6190666666666665,2.8864517211914062,1707.21484375,1707.46484375
IMDB-MULTI,256,200,0.001,0.0,23.308183431625366,0.10528779029846191,23.413471221923828,0.44333333333333336,0.4866666666666667,0.36666666666666664,0.437789290021096,0.47807017543859653,0.3643428923588084,0.6234338541666666,0.6349666666666667,0.5395333333333334,4.903506278991699,1707.46484375,1721.6640625
IMDB-MULTI,256,200,0.001,0.4,43.03316521644592,0.0995028018951416,43.132668018341064,0.455,0.5133333333333333,0.38,0.4335817663401272,0.49136502641089796,0.3416861461742247,0.6594229166666666,0.657,0.5912999999999999,4.86846923828125,1721.6640625,1724.1640625
IMDB-MULTI,256,200,0.0005,0.0,26.350106239318848,0.10496401786804199,26.45507025718689,0.44916666666666666,0.47333333333333333,0.4066666666666667,0.4261534237935198,0.4347077160872263,0.3845922461309032,0.6360145833333334,0.6614,0.5827333333333334,4.866683006286621,1724.1640625,1724.1640625
IMDB-MULTI,256,200,0.0005,0.4,27.90540313720703,0.10599589347839355,28.011399030685425,0.45,0.49333333333333335,0.43333333333333335,0.3970329866663063,0.443425611138093,0.3858407355462054,0.6181791666666666,0.6531666666666668,0.5978,4.866520881652832,1724.1640625,1724.1640625
