Method,Dataset,Dim,Model,Accuracy,F1,AUC,TrainTime
Graph2Vec,ENZYMES,dim64,SVM,0.2,0.19598775406109223,0.4761666666666667,0.09537482261657715
Graph2Vec,ENZYMES,dim64,LogisticRegression,0.175,0.16956694617418827,0.49249999999999994,0.019059181213378906
Graph2Vec,ENZYMES,dim64,RandomForest,0.175,0.16650722518857528,0.5138333333333334,0.5699570178985596
Graph2Vec,ENZYMES,dim64,GradientBoosting,0.23333333333333334,0.2265887192126374,0.5086666666666666,12.373339176177979
Graph2Vec,ENZYMES,dim64,MLP,0.16666666666666666,0.14454200284765067,0.5187499999999999,0.11878490447998047
Graph2Vec,ENZYMES,dim64,Ensemble,0.18333333333333332,0.1740075702070718,0.49725,11.249080419540405
Graph2Vec,ENZYMES,dim128,SVM,0.175,0.17417784512164153,0.5109166666666668,0.10579586029052734
Graph2Vec,ENZYMES,dim128,LogisticRegression,0.15833333333333333,0.1508960984809861,0.4920833333333334,0.04248929023742676
Graph2Vec,ENZYMES,dim128,RandomForest,0.25,0.25082958858842097,0.58125,0.5790812969207764
Graph2Vec,ENZYMES,dim128,GradientBoosting,0.21666666666666667,0.21731122478398035,0.5328333333333334,25.278728723526
Graph2Vec,ENZYMES,dim128,MLP,0.19166666666666668,0.17170558909689343,0.5461666666666666,0.23222565650939941
Graph2Vec,ENZYMES,dim128,Ensemble,0.225,0.21151844944206294,0.5699166666666666,19.122398614883423
Graph2Vec,ENZYMES,dim256,SVM,0.24166666666666667,0.23571609494861775,0.5633333333333334,0.1707170009613037
Graph2Vec,ENZYMES,dim256,LogisticRegression,0.18333333333333332,0.18055466820001703,0.5295000000000001,0.07868814468383789
Graph2Vec,ENZYMES,dim256,RandomForest,0.175,0.16219265774443706,0.5671666666666667,0.694394588470459
Graph2Vec,ENZYMES,dim256,GradientBoosting,0.18333333333333332,0.1773177443341936,0.5336666666666667,50.427878618240356
Graph2Vec,ENZYMES,dim256,MLP,0.23333333333333334,0.2303865846974185,0.5575833333333334,0.6214349269866943
Graph2Vec,ENZYMES,dim256,Ensemble,0.225,0.21733882470403654,0.5589166666666666,37.82959723472595
Graph2Vec,IMDB-MULTI,dim64,SVM,0.3433333333333333,0.3431258315359761,0.5182833333333333,0.4802062511444092
Graph2Vec,IMDB-MULTI,dim64,LogisticRegression,0.33666666666666667,0.33663076564827055,0.5269166666666667,0.013768434524536133
Graph2Vec,IMDB-MULTI,dim64,RandomForest,0.38,0.377619395711501,0.5509000000000001,0.836963415145874
Graph2Vec,IMDB-MULTI,dim64,GradientBoosting,0.34,0.34048803601042404,0.5391666666666667,18.18187642097473
Graph2Vec,IMDB-MULTI,dim64,MLP,0.35333333333333333,0.34436779965013875,0.547,0.26146674156188965
Graph2Vec,IMDB-MULTI,dim64,Ensemble,0.33666666666666667,0.33576413143949824,0.5426833333333333,12.49295425415039
Graph2Vec,IMDB-MULTI,dim128,SVM,0.34,0.3399230484395035,0.5108666666666667,0.5821454524993896
Graph2Vec,IMDB-MULTI,dim128,LogisticRegression,0.32666666666666666,0.3244508255899537,0.4634833333333333,0.04210805892944336
Graph2Vec,IMDB-MULTI,dim128,RandomForest,0.3466666666666667,0.3385055872397644,0.5222166666666667,0.9874475002288818
Graph2Vec,IMDB-MULTI,dim128,GradientBoosting,0.3333333333333333,0.33367466043212557,0.5143,33.60102391242981
Graph2Vec,IMDB-MULTI,dim128,MLP,0.30333333333333334,0.30234950234950236,0.48418333333333335,0.8563234806060791
Graph2Vec,IMDB-MULTI,dim128,Ensemble,0.33666666666666667,0.3371608675254518,0.5091166666666667,25.568272829055786
Graph2Vec,IMDB-MULTI,dim256,SVM,0.37,0.36860356204461503,0.5228666666666667,0.8891997337341309
Graph2Vec,IMDB-MULTI,dim256,LogisticRegression,0.38333333333333336,0.38347814373274064,0.5495333333333333,0.1164848804473877
Graph2Vec,IMDB-MULTI,dim256,RandomForest,0.3433333333333333,0.3375585056678059,0.5469666666666667,1.1051783561706543
Graph2Vec,IMDB-MULTI,dim256,GradientBoosting,0.41333333333333333,0.4128648284844834,0.5587166666666668,66.37979817390442
Graph2Vec,IMDB-MULTI,dim256,MLP,0.35,0.34188410786819917,0.5479666666666666,3.2408831119537354
