dataset,method,run_name,split,dim,n_graphs,n_clusters,cluster_alg,nmi,ari,acc,silhouette
IMDB-MULTI,GIN,gin_dim64_ep500_lr0.0005_drop0.0_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,all,192,1500,3,kmeans,0.023755,0.000744,0.348667,0.914979
IMDB-MULTI,GIN,gin_dim64_ep500_lr0.0005_drop0.4_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,all,192,1500,3,kmeans,0.026684,0.000891,0.351333,0.925759
IMDB-MULTI,GIN,gin_dim64_ep500_lr0.001_drop0.0_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,all,192,1500,3,kmeans,0.023755,0.000744,0.348667,0.898558
IMDB-MULTI,GIN,gin_dim64_ep500_lr0.001_drop0.4_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,all,192,1500,3,kmeans,0.026684,0.000891,0.351333,0.947784
IMDB-MULTI,GIN,gin_dim64_ep200_lr0.0005_drop0.0_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,all,192,1500,3,spectral,0.007459,0.000197,0.347333,-0.215259
IMDB-MULTI,GIN,gin_dim64_ep200_lr0.0005_drop0.4_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,all,192,1500,3,spectral,0.012649,0.003129,0.366667,-0.250214
IMDB-MULTI,GIN,gin_dim64_ep200_lr0.001_drop0.0_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,all,192,1500,3,spectral,0.013675,0.007551,0.378,-0.535239
IMDB-MULTI,GIN,gin_dim64_ep200_lr0.001_drop0.4_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,all,192,1500,3,spectral,0.00771,0.001168,0.352667,-0.37194
IMDB-MULTI,GIN,gin_dim64_ep500_lr0.0005_drop0.0_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,all,192,1500,3,spectral,0.013672,0.004978,0.37,-0.126553
IMDB-MULTI,GIN,gin_dim64_ep500_lr0.0005_drop0.4_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,all,192,1500,3,spectral,0.00357,0.000173,0.343333,-0.431769
IMDB-MULTI,GIN,gin_dim64_ep500_lr0.001_drop0.0_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,all,192,1500,3,spectral,0.005836,0.000982,0.354667,-0.113302
IMDB-MULTI,GIN,gin_dim64_ep500_lr0.001_drop0.4_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,all,192,1500,3,spectral,0.009822,0.003583,0.365333,-0.458159
IMDB-MULTI,GIN,gin_dim128_ep200_lr0.0005_drop0.0_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,all,384,1500,3,kmeans,0.023755,0.000744,0.348667,0.926792
IMDB-MULTI,GIN,gin_dim128_ep200_lr0.0005_drop0.4_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,all,384,1500,3,kmeans,0.026684,0.000891,0.351333,0.950482
