dataset,dim,epochs,lr,dropout,it_time_s,embed_time_s,total_time_s,val_acc,test_acc,val_f1_macro,test_f1_macro,val_auc_macro,test_auc_macro,peak_tracemalloc_mb,rss_before_mb,rss_after_mb
ENZYMES,64,40,0.001,0.0,7.625921249389648,0.21650385856628418,7.842425107955933,0.4918032786885246,0.3333333333333333,0.494973544973545,0.3126410301848898,0.7484491978609626,0.6546666666666667,0.34252071380615234,1437.13671875,1437.47265625
ENZYMES,64,40,0.001,0.3,7.486801624298096,0.2204453945159912,7.707247018814087,0.4098360655737705,0.3,0.3641618891618892,0.2679467900520532,0.6901901366607249,0.642,0.33683109283447266,1437.47265625,1437.5859375
ENZYMES,64,40,0.0005,0.0,7.603158950805664,0.2245025634765625,7.827661514282227,0.47540983606557374,0.36666666666666664,0.48243145743145743,0.36731559290382826,0.7482709447415331,0.6893333333333334,0.3338747024536133,1437.5859375,1437.66796875
ENZYMES,64,40,0.0005,0.3,7.518383741378784,0.22380900382995605,7.74219274520874,0.36065573770491804,0.3333333333333333,0.34701231898028234,0.30446330415370665,0.7043790849673203,0.689,0.33734130859375,1437.66796875,1437.71875
ENZYMES,64,100,0.001,0.0,18.901845693588257,0.21520590782165527,19.117051601409912,0.5573770491803278,0.4166666666666667,0.5509754406813231,0.41943584451324395,0.8204040404040404,0.7393333333333333,0.3401308059692383,1437.71875,1437.7890625
ENZYMES,64,100,0.001,0.3,18.756194591522217,0.21977901458740234,18.97597360610962,0.5081967213114754,0.3333333333333333,0.5064417282064341,0.332142421723792,0.7647534165181225,0.6713333333333332,0.3433847427368164,1437.7890625,1437.84375
ENZYMES,64,100,0.0005,0.0,18.684319019317627,0.22096657752990723,18.905285596847534,0.5081967213114754,0.4166666666666667,0.5054509902335989,0.42711674338351324,0.7748603683897802,0.6896666666666668,0.3400259017944336,1437.84375,1437.875
ENZYMES,64,100,0.0005,0.3,18.548061847686768,0.21657538414001465,18.764637231826782,0.45901639344262296,0.3,0.4643790849673202,0.286331569664903,0.7507902554961379,0.7010000000000001,0.342041015625,1437.875,1437.90234375
ENZYMES,128,40,0.001,0.0,7.366817951202393,0.2122797966003418,7.579097747802734,0.5081967213114754,0.45,0.5115510697032436,0.456404388898668,0.7747534165181224,0.7343333333333334,0.4824380874633789,1437.90234375,1438.4140625
ENZYMES,128,40,0.001,0.3,7.483514785766602,0.21520590782165527,7.698720693588257,0.47540983606557374,0.2833333333333333,0.4681577681577682,0.276256225853,0.7624064171122994,0.6543333333333333,0.4803762435913086,1438.4140625,1438.41796875
