dataset,run_name,split,n_graphs,cos_mean,cos_median,cos_std,l2_mean,l2_median,l2_std
ENZYMES,gin_dim64_ep800_lr0.001_drop0.4_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,test,60,0.7496501803398132,0.7543315887451172,0.034373171627521515,483.6098937988281,451.221923828125,251.6829833984375
IMDB-MULTI,gin_dim128_ep200_lr0.0005_drop0.0_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,test,150,0.6343277096748352,0.628130316734314,0.06692799180746078,171.2476806640625,106.84390258789062,277.94207763671875
IMDB-MULTI,gin_dim128_ep200_lr0.0005_drop0.4_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,test,150,0.6347659230232239,0.6257820129394531,0.062102511525154114,107.24129486083984,59.750431060791016,211.55734252929688
IMDB-MULTI,gin_dim128_ep200_lr0.001_drop0.0_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,test,150,0.5424197316169739,0.5378273725509644,0.10276927053928375,188.29148864746094,117.40351867675781,282.1163330078125
IMDB-MULTI,gin_dim128_ep200_lr0.001_drop0.4_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,test,150,0.5019562840461731,0.5043086409568787,0.07450798153877258,106.7831039428711,64.8057861328125,173.2122344970703
IMDB-MULTI,gin_dim128_ep500_lr0.0005_drop0.0_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,test,150,0.6711018085479736,0.6726996898651123,0.0719912126660347,138.1553192138672,81.26252746582031,258.8780517578125
IMDB-MULTI,gin_dim128_ep500_lr0.0005_drop0.4_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,test,150,0.6107030510902405,0.6038568019866943,0.062305696308612823,112.0458755493164,71.00958251953125,178.21250915527344
IMDB-MULTI,gin_dim128_ep500_lr0.001_drop0.0_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,test,150,0.5021457672119141,0.5362191200256348,0.10700023174285889,139.26504516601562,88.50927734375,247.94749450683594
IMDB-MULTI,gin_dim128_ep500_lr0.001_drop0.4_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,test,150,0.6253967881202698,0.6293064951896667,0.0676225945353508,104.98168182373047,67.78064727783203,181.9547119140625
IMDB-MULTI,gin_dim256_ep200_lr0.0005_drop0.0_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,test,150,0.6652780175209045,0.6700996160507202,0.06298002600669861,175.1214141845703,103.22021484375,348.50897216796875
IMDB-MULTI,gin_dim256_ep200_lr0.0005_drop0.4_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,test,150,0.6542921662330627,0.6467322111129761,0.05416516587138176,143.01229858398438,86.99659729003906,254.8651123046875
IMDB-MULTI,gin_dim256_ep200_lr0.001_drop0.0_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,test,150,0.4683913588523865,0.43231016397476196,0.11915168911218643,146.29971313476562,91.71894836425781,270.9138488769531
IMDB-MULTI,gin_dim256_ep200_lr0.001_drop0.4_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,test,150,0.12589408457279205,0.1339896321296692,0.07214859873056412,65.73524475097656,38.50521469116211,132.17970275878906
IMDB-MULTI,gin_dim256_ep500_lr0.0005_drop0.0_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,test,150,0.6396871209144592,0.6395816802978516,0.08244321495294571,168.28021240234375,95.771240234375,335.5971374511719
IMDB-MULTI,gin_dim256_ep500_lr0.0005_drop0.4_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,test,150,0.584642231464386,0.5824429988861084,0.06456197798252106,127.72374725341797,71.98516082763672,246.79562377929688
IMDB-MULTI,gin_dim256_ep500_lr0.001_drop0.0_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,test,150,0.6661403179168701,0.6719244718551636,0.0659758672118187,182.15830993652344,108.54864501953125,363.1009521484375
IMDB-MULTI,gin_dim256_ep500_lr0.001_drop0.4_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,test,150,0.45383259654045105,0.45883405208587646,0.11174289137125015,146.54356384277344,78.1568832397461,296.978271484375
IMDB-MULTI,gin_dim64_ep200_lr0.0005_drop0.0_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,test,150,0.6641930937767029,0.6610802412033081,0.07017351686954498,117.12476348876953,78.59504699707031,160.0001220703125
IMDB-MULTI,gin_dim64_ep200_lr0.0005_drop0.4_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,test,150,0.6581516265869141,0.661760687828064,0.050843920558691025,77.36405944824219,48.54845428466797,125.24178314208984
IMDB-MULTI,gin_dim64_ep200_lr0.001_drop0.0_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,test,150,0.6083515286445618,0.5977219343185425,0.1187276616692543,84.12928009033203,59.711734771728516,107.85346984863281
IMDB-MULTI,gin_dim64_ep200_lr0.001_drop0.4_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,test,150,0.6633486151695251,0.6581567525863647,0.06594713777303696,68.9367446899414,42.01003646850586,118.12061309814453
IMDB-MULTI,gin_dim64_ep500_lr0.0005_drop0.0_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,test,150,0.612074077129364,0.6004087924957275,0.07083286345005035,135.9633026123047,97.10490417480469,162.58248901367188
IMDB-MULTI,gin_dim64_ep500_lr0.0005_drop0.4_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,test,150,0.6077923774719238,0.6156070232391357,0.08685901015996933,77.89813995361328,47.017173767089844,125.40211486816406
IMDB-MULTI,gin_dim64_ep500_lr0.001_drop0.0_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,test,150,0.6201317310333252,0.6126513481140137,0.08178576081991196,167.50070190429688,109.56072235107422,203.80502319335938
IMDB-MULTI,gin_dim64_ep500_lr0.001_drop0.4_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,test,150,0.5946345925331116,0.5867282152175903,0.0783875361084938,76.6529541015625,47.0078125,131.93850708007812
