dataset,method,run_name,split,dim,n_graphs,n_clusters,cluster_alg,nmi,ari,acc,silhouette
ENZYMES,GIN,gin_dim128_ep800_lr0.0005_drop0.0_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,all,768,600,6,spectral,0.043555,0.015424,0.236667,0.160945
ENZYMES,GIN,gin_dim128_ep800_lr0.0005_drop0.4_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,all,768,600,6,kmeans,0.036771,0.012747,0.24,0.371957
ENZYMES,GIN,gin_dim128_ep800_lr0.0005_drop0.4_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,all,768,600,6,spectral,0.050461,0.020788,0.245,0.24364
ENZYMES,GIN,gin_dim128_ep800_lr0.001_drop0.0_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,all,768,600,6,kmeans,0.034429,0.013,0.223333,0.379744
ENZYMES,GIN,gin_dim128_ep800_lr0.001_drop0.0_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,all,768,600,6,spectral,0.058226,0.022512,0.246667,0.151003
ENZYMES,GIN,gin_dim128_ep800_lr0.001_drop0.4_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,all,768,600,6,kmeans,0.036249,0.012692,0.226667,0.307507
ENZYMES,GIN,gin_dim128_ep800_lr0.001_drop0.4_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,all,768,600,6,spectral,0.05623,0.022185,0.251667,0.168507
ENZYMES,GIN,gin_dim256_ep300_lr0.0005_drop0.0_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,all,1536,600,6,kmeans,0.038271,0.013052,0.23,0.374322
ENZYMES,GIN,gin_dim256_ep300_lr0.0005_drop0.0_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,all,1536,600,6,spectral,0.038381,0.013428,0.248333,0.207625
ENZYMES,GIN,gin_dim256_ep300_lr0.0005_drop0.4_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,all,1536,600,6,kmeans,0.040141,0.015097,0.23,0.293576
ENZYMES,GIN,gin_dim256_ep300_lr0.0005_drop0.4_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,all,1536,600,6,spectral,0.048794,0.017871,0.268333,0.258151
ENZYMES,GIN,gin_dim256_ep300_lr0.001_drop0.0_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,all,1536,600,6,kmeans,0.033624,0.012742,0.228333,0.352419
ENZYMES,GIN,gin_dim256_ep300_lr0.001_drop0.0_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,all,1536,600,6,spectral,0.053707,0.01984,0.266667,0.162546
ENZYMES,GIN,gin_dim256_ep300_lr0.001_drop0.4_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,all,1536,600,6,kmeans,0.027553,0.009763,0.216667,0.361647
ENZYMES,GIN,gin_dim256_ep300_lr0.001_drop0.4_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,all,1536,600,6,spectral,0.055781,0.026727,0.278333,0.194453
ENZYMES,GIN,gin_dim256_ep800_lr0.0005_drop0.0_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,all,1536,600,6,kmeans,0.036166,0.016666,0.243333,0.378006
ENZYMES,GIN,gin_dim256_ep800_lr0.0005_drop0.0_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,all,1536,600,6,spectral,0.039348,0.01051,0.243333,0.220938
ENZYMES,GIN,gin_dim256_ep800_lr0.0005_drop0.4_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,all,1536,600,6,kmeans,0.045788,0.016806,0.243333,0.298063
ENZYMES,GIN,gin_dim256_ep800_lr0.0005_drop0.4_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,all,1536,600,6,spectral,0.063997,0.027693,0.285,0.276608
ENZYMES,GIN,gin_dim256_ep800_lr0.001_drop0.0_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,all,1536,600,6,kmeans,0.026199,0.000431,0.185,0.742466
ENZYMES,GIN,gin_dim256_ep800_lr0.001_drop0.0_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,all,1536,600,6,spectral,0.051091,0.017756,0.256667,0.173108
ENZYMES,GIN,gin_dim256_ep800_lr0.001_drop0.4_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,all,1536,600,6,kmeans,0.034217,0.016123,0.225,0.264541
ENZYMES,GIN,gin_dim256_ep800_lr0.001_drop0.4_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,all,1536,600,6,spectral,0.060138,0.022503,0.256667,0.109307
ENZYMES,GIN,gin_dim64_ep300_lr0.0005_drop0.0_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,all,384,600,6,kmeans,0.045929,0.01553,0.223333,0.255023
ENZYMES,GIN,gin_dim64_ep300_lr0.0005_drop0.0_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,all,384,600,6,spectral,0.044864,0.0168,0.248333,0.160671
ENZYMES,GIN,gin_dim64_ep300_lr0.0005_drop0.4_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,all,384,600,6,kmeans,0.038112,0.010063,0.225,0.394915
ENZYMES,GIN,gin_dim64_ep300_lr0.0005_drop0.4_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,all,384,600,6,spectral,0.05323,0.018922,0.268333,0.254748
ENZYMES,GIN,gin_dim64_ep300_lr0.001_drop0.0_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,all,384,600,6,kmeans,0.044686,0.014955,0.226667,0.295788
ENZYMES,GIN,gin_dim64_ep300_lr0.001_drop0.0_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,all,384,600,6,spectral,0.063519,0.026443,0.246667,0.174186
ENZYMES,GIN,gin_dim64_ep300_lr0.001_drop0.4_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,all,384,600,6,kmeans,0.041628,0.011322,0.218333,0.369644
ENZYMES,GIN,gin_dim64_ep300_lr0.001_drop0.4_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,all,384,600,6,spectral,0.043214,0.014138,0.241667,0.247488
ENZYMES,GIN,gin_dim64_ep800_lr0.0005_drop0.0_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,all,384,600,6,kmeans,0.035873,0.01259,0.213333,0.281782
ENZYMES,GIN,gin_dim64_ep800_lr0.0005_drop0.0_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,all,384,600,6,spectral,0.046783,0.017339,0.24,0.177545
ENZYMES,GIN,gin_dim64_ep800_lr0.0005_drop0.4_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,all,384,600,6,kmeans,0.03356,0.010518,0.221667,0.419075
ENZYMES,GIN,gin_dim64_ep800_lr0.0005_drop0.4_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,all,384,600,6,spectral,0.059744,0.028142,0.275,0.202256
ENZYMES,GIN,gin_dim64_ep800_lr0.001_drop0.0_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,all,384,600,6,kmeans,0.054974,0.024139,0.256667,0.270543
ENZYMES,GIN,gin_dim64_ep800_lr0.001_drop0.0_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,all,384,600,6,spectral,0.053673,0.02196,0.27,0.247406
ENZYMES,GIN,gin_dim64_ep800_lr0.001_drop0.4_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,all,384,600,6,kmeans,0.044995,0.012026,0.241667,0.378537
ENZYMES,GIN,gin_dim64_ep800_lr0.001_drop0.4_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,all,384,600,6,spectral,0.045359,0.01434,0.256667,0.26
IMDB-MULTI,GIN,gin_dim128_ep200_lr0.0005_drop0.0_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,all,384,1500,3,kmeans,0.024848,0.00081,0.35,0.925475
IMDB-MULTI,GIN,gin_dim128_ep200_lr0.0005_drop0.0_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,all,384,1500,3,spectral,0.008289,0.000483,0.35,-0.174575
IMDB-MULTI,GIN,gin_dim128_ep200_lr0.0005_drop0.4_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,all,384,1500,3,kmeans,0.026684,0.000891,0.351333,0.947351
IMDB-MULTI,GIN,gin_dim128_ep200_lr0.0005_drop0.4_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,all,384,1500,3,spectral,0.0107,0.001615,0.351333,0.100914
IMDB-MULTI,GIN,gin_dim128_ep200_lr0.001_drop0.0_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,all,384,1500,3,kmeans,0.024228,0.000788,0.348667,0.91497
