dataset,dim,epochs,lr,dropout,it_time_s,embed_time_s,total_time_s,train_acc,val_acc,test_acc,train_f1_macro,val_f1_macro,test_f1_macro,train_auc_macro,val_auc_macro,test_auc_macro,peak_tracemalloc_mb,rss_before_mb,rss_after_mb
MUTAG,128,50,0.0005,0.0,2.4759416580200195,0.02471446990966797,2.5006561279296875,0.76,0.7894736842105263,0.6842105263157895,0.7453310696095077,0.7738095238095238,0.6346153846153846,0.8356110120816004,0.8461538461538461,0.641025641025641,0.7655448913574219,1406.1484375,1409.8984375
MUTAG,128,50,0.0005,0.3,2.5570175647735596,0.03302359580993652,2.590041160583496,0.7866666666666666,0.7368421052631579,0.8947368421052632,0.746031746031746,0.6360153256704981,0.8642857142857143,0.8777975836799367,0.717948717948718,0.8717948717948718,0.7597846984863281,1409.8984375,1411.2734375
MUTAG,128,200,0.001,0.0,5.300268173217773,0.025395870208740234,5.325664043426514,0.74,0.8421052631578947,0.7894736842105263,0.68848181479312,0.8080808080808081,0.7285714285714285,0.8371954842543078,0.7692307692307693,0.5641025641025641,0.7731513977050781,1411.2734375,1411.7734375
MUTAG,128,200,0.001,0.3,5.806762456893921,0.02465200424194336,5.831414461135864,0.78,0.8421052631578947,0.7368421052631579,0.7673325499412456,0.8080808080808081,0.7076923076923077,0.8700732818379878,0.8333333333333335,0.6794871794871795,0.7666034698486328,1411.7734375,1411.7734375
MUTAG,128,200,0.0005,0.0,3.43656063079834,0.02492833137512207,3.461488962173462,0.7,0.7894736842105263,0.6842105263157895,0.5126705653021442,0.6833333333333333,0.40625,0.92414339473163,0.7435897435897436,0.7692307692307693,0.7644062042236328,1411.7734375,1411.7734375
MUTAG,128,200,0.0005,0.3,3.3591670989990234,0.02434706687927246,3.383514165878296,0.7733333333333333,0.7894736842105263,0.7894736842105263,0.6950490313322172,0.6833333333333333,0.6833333333333333,0.8801742919389978,0.6538461538461539,0.858974358974359,0.7626018524169922,1411.7734375,1411.7734375
MUTAG,256,50,0.001,0.0,2.5207650661468506,0.024929523468017578,2.545694589614868,0.8066666666666666,0.7894736842105263,0.5263157894736842,0.7955346650998825,0.7564102564102564,0.47384615384615386,0.8698752228163994,0.8076923076923077,0.5256410256410257,1.2494325637817383,1413.3984375,1420.5234375
MUTAG,256,50,0.001,0.3,2.514564275741577,0.024942636489868164,2.5395069122314453,0.7533333333333333,0.7368421052631579,0.8421052631578947,0.7081865502918134,0.6360153256704981,0.8080808080808081,0.8415527827292533,0.5897435897435898,0.8205128205128205,1.2486858367919922,1420.5234375,1420.7734375
MUTAG,256,50,0.0005,0.0,2.581352710723877,0.024877309799194336,2.6062300205230713,0.7133333333333334,0.7894736842105263,0.6842105263157895,0.5575828246107415,0.6833333333333333,0.40625,0.9399881164587047,0.8205128205128205,0.6602564102564102,1.2464876174926758,1420.7734375,1421.1953125
MUTAG,256,50,0.0005,0.3,2.6000704765319824,0.025239229202270508,2.625309705734253,0.7733333333333333,0.7894736842105263,0.7368421052631579,0.7228863290589003,0.7285714285714285,0.6360153256704981,0.8738364032481679,0.8333333333333334,0.8205128205128206,1.2489023208618164,1421.1953125,1421.1953125
MUTAG,256,200,0.001,0.0,3.010875701904297,0.0254514217376709,3.0363271236419678,0.7533333333333333,0.8947368421052632,0.7368421052631579,0.6963064295485636,0.8782051282051282,0.6801346801346801,0.8443256090314915,0.8205128205128206,0.7820512820512822,1.1684598922729492,1421.1953125,1421.1953125
MUTAG,256,200,0.001,0.3,3.6686344146728516,0.02620100975036621,3.6948354244232178,0.7733333333333333,0.7894736842105263,0.7894736842105263,0.7147012754531215,0.6833333333333333,0.6833333333333333,0.8699742523271936,0.6025641025641026,0.7564102564102565,1.2178716659545898,1421.1953125,1421.09765625
MUTAG,256,200,0.0005,0.0,3.1059818267822266,0.025470972061157227,3.131452798843384,0.7666666666666667,0.7894736842105263,0.6842105263157895,0.6992954922962369,0.6833333333333333,0.40625,0.873836403248168,0.7307692307692308,0.8205128205128206,1.1748809814453125,1421.09765625,1421.09765625
MUTAG,256,200,0.0005,0.3,3.111787796020508,0.02480030059814453,3.1365880966186523,0.7466666666666667,0.7894736842105263,0.7894736842105263,0.6386916835699796,0.6833333333333333,0.6833333333333333,0.9051297286591404,0.7051282051282051,0.7564102564102564,1.168853759765625,1421.09765625,1421.01171875
ENZYMES,64,50,0.001,0.0,12.504160642623901,0.10409832000732422,12.608258962631226,0.2755741127348643,0.32786885245901637,0.2,0.24192341676011678,0.30499482401656314,0.15100397569909765,0.6210529422184151,0.6517647058823529,0.5641666666666666,1.3999128341674805,723.37109375,1381.99609375
ENZYMES,64,50,0.001,0.3,12.143709897994995,0.08827662467956543,12.23198652267456,0.2254697286012526,0.22950819672131148,0.18333333333333332,0.16293185643776453,0.15604108309990664,0.1407700190308886,0.5468921777016381,0.5289304812834225,0.519,1.265817642211914,1382.37109375,1393.49609375
ENZYMES,64,50,0.0005,0.0,11.816215515136719,0.08846902847290039,11.90468454360962,0.24008350730688935,0.29508196721311475,0.18333333333333332,0.21461788423489714,0.25262449286950195,0.1330112721417069,0.6026059544959446,0.6398098633392751,0.5788333333333334,1.2076339721679688,1393.62109375,1394.37109375
ENZYMES,64,50,0.0005,0.3,12.867565393447876,0.09757137298583984,12.965136766433716,0.18580375782881003,0.2786885245901639,0.18333333333333332,0.11526350239488846,0.22171717171717173,0.12419802419802421,0.5901098870594208,0.6543077837195485,0.597,1.2342357635498047,1394.37109375,1394.37109375
ENZYMES,64,200,0.001,0.0,34.53310751914978,0.09748983383178711,34.63059735298157,0.23799582463465555,0.32786885245901637,0.26666666666666666,0.19369636743586324,0.2484071484071484,0.23790000363226907,0.6328640826750421,0.6598692810457516,0.6263333333333333,1.2875795364379883,1394.37109375,1394.49609375
ENZYMES,64,200,0.001,0.3,15.247836828231812,0.09434056282043457,15.342177391052246,0.2254697286012526,0.3442622950819672,0.2833333333333333,0.15433474567339714,0.24771141613246875,0.18718071519795657,0.594140784450578,0.649964349376114,0.5926666666666667,1.2079620361328125,1394.49609375,1395.12109375
ENZYMES,64,200,0.0005,0.0,33.640758991241455,0.09121441841125488,33.73197340965271,0.29436325678496866,0.32786885245901637,0.2,0.2785275782153455,0.2711323763955343,0.14315245478036176,0.6509677410826644,0.6373499702911468,0.5970000000000001,1.2841920852661133,1395.12109375,1395.12109375
ENZYMES,64,200,0.0005,0.3,19.230831384658813,0.09095239639282227,19.321783781051636,0.20250521920668058,0.29508196721311475,0.21666666666666667,0.15081028781561115,0.21342572116565925,0.16335978835978837,0.582165368590252,0.6761378490790255,0.5603333333333332,1.2791576385498047,1395.12109375,1395.12109375
ENZYMES,128,50,0.001,0.0,12.830898523330688,0.08985424041748047,12.920752763748169,0.2150313152400835,0.29508196721311475,0.26666666666666666,0.1434217918730085,0.2001727894222823,0.18301238990894164,0.5565136073305627,0.6111764705882353,0.5401666666666667,2.204766273498535,1395.12109375,1412.62109375
ENZYMES,128,50,0.001,0.3,12.763484477996826,0.09069204330444336,12.85417652130127,0.17745302713987474,0.2459016393442623,0.2,0.12393656309950661,0.167837089019355,0.13981225426566588,0.5684551436608398,0.6008496732026144,0.5471666666666667,2.0655517578125,1412.62109375,1413.99609375
ENZYMES,128,50,0.0005,0.0,12.68803596496582,0.09392142295837402,12.781957387924194,0.20876826722338204,0.26229508196721313,0.21666666666666667,0.17015182347202132,0.17228070175438595,0.18523291925465837,0.5914441694954685,0.588045157456922,0.594,2.113694190979004,1413.99609375,1415.24609375
ENZYMES,128,50,0.0005,0.3,13.115679502487183,0.0875236988067627,13.203203201293945,0.21085594989561587,0.2786885245901639,0.16666666666666666,0.14153877900916353,0.2202803107058426,0.09100529100529102,0.5766015711747724,0.6598158051099228,0.6083333333333333,2.115184783935547,1415.24609375,1415.37109375
ENZYMES,128,200,0.001,0.0,14.918053150177002,0.09846687316894531,15.016520023345947,0.1837160751565762,0.26229508196721313,0.2,0.11722540310366221,0.18297682709447416,0.1270688513737173,0.5560214222264522,0.6294325609031493,0.5215,1.9983892440795898,1415.37109375,1415.37109375
ENZYMES,128,200,0.001,0.3,48.04811191558838,0.09855318069458008,48.14666509628296,0.2567849686847599,0.36065573770491804,0.21666666666666667,0.23838435794934076,0.3439699935667678,0.19738930659983292,0.655212186584605,0.6646167557932264,0.6056666666666667,2.227071762084961,1415.37109375,1415.87109375
