dataset,method,run_name,split,dim,n_graphs,n_clusters,cluster_alg,nmi,ari,acc,silhouette
ENZYMES,GIN,gin_dim128_ep300_lr0.0005_drop0.0_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,all,768,600,6,spectral,0.070069,0.020396,0.271667,0.051194
ENZYMES,GIN,gin_dim128_ep300_lr0.0005_drop0.4_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,all,768,600,6,kmeans,0.066302,0.003214,0.185,0.925532
ENZYMES,GIN,gin_dim128_ep300_lr0.0005_drop0.4_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,all,768,600,6,spectral,0.087669,0.014377,0.288333,0.050308
ENZYMES,GIN,gin_dim128_ep300_lr0.001_drop0.0_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,all,768,600,6,kmeans,0.057673,0.002541,0.188333,0.89783
ENZYMES,GIN,gin_dim128_ep300_lr0.001_drop0.0_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,all,768,600,6,spectral,0.072918,0.026327,0.285,0.080228
ENZYMES,GIN,gin_dim128_ep300_lr0.001_drop0.4_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,all,768,600,6,kmeans,0.061764,0.003576,0.191667,0.731852
ENZYMES,GIN,gin_dim128_ep300_lr0.001_drop0.4_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,all,768,600,6,spectral,0.078292,0.019406,0.278333,0.133112
ENZYMES,GIN,gin_dim128_ep800_lr0.0005_drop0.0_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,all,768,600,6,kmeans,0.056634,0.007279,0.216667,0.397703
ENZYMES,GIN,gin_dim128_ep800_lr0.0005_drop0.0_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,all,768,600,6,spectral,0.074944,0.017913,0.271667,0.037503
ENZYMES,GIN,gin_dim128_ep800_lr0.0005_drop0.4_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,all,768,600,6,kmeans,0.055693,0.008775,0.225,0.294683
ENZYMES,GIN,gin_dim128_ep800_lr0.0005_drop0.4_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,all,768,600,6,spectral,0.065153,0.020997,0.278333,0.156083
ENZYMES,GIN,gin_dim128_ep800_lr0.001_drop0.0_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,all,768,600,6,kmeans,0.054209,0.013793,0.231667,0.262605
