Dataset,Classifier,Embedding_Dim,Run,Random_Seed,N_Samples,N_Classes,Accuracy,F1_Score,AUC,Train_Time_sec,Prediction_Time_sec,Generation_Time_sec,Memory_MB,Train_Samples,Test_Samples
IMDB-MULTI,MLP,64,1,42,1500,3,0.3733,0.3723,0.5445,0.078,0.0,0.0,0.0,1200,300
IMDB-MULTI,SVM,64,2,123,1500,3,0.45,0.4417,0.6156,0.324,0.035,0.0,0.0,1200,300
IMDB-MULTI,MLP,64,2,123,1500,3,0.39,0.3802,0.536,0.038,0.0,0.0,0.0,1200,300
IMDB-MULTI,SVM,64,3,456,1500,3,0.4533,0.4524,0.6292,0.325,0.034,0.0,0.0,1200,300
IMDB-MULTI,MLP,64,3,456,1500,3,0.3833,0.381,0.57,0.088,0.0,0.0,0.0,1200,300
IMDB-MULTI,SVM,64,4,789,1500,3,0.4067,0.4042,0.5704,0.328,0.032,0.0,0.0,1200,300
IMDB-MULTI,MLP,64,4,789,1500,3,0.4067,0.4057,0.5533,0.034,0.0,0.0,0.0,1200,300
IMDB-MULTI,SVM,64,5,999,1500,3,0.4133,0.4077,0.6014,0.315,0.035,0.0,0.0,1200,300
IMDB-MULTI,MLP,64,5,999,1500,3,0.34,0.3351,0.4991,0.044,0.001,0.0,0.0,1200,300
IMDB-MULTI,SVM,128,1,42,1500,3,0.41,0.4046,0.5692,0.426,0.052,0.0,0.0,1200,300
IMDB-MULTI,MLP,128,1,42,1500,3,0.37,0.3701,0.5267,0.187,0.001,0.0,0.6,1200,300
IMDB-MULTI,SVM,128,2,123,1500,3,0.4367,0.4261,0.6116,0.427,0.05,0.0,0.19,1200,300
IMDB-MULTI,MLP,128,2,123,1500,3,0.4033,0.3996,0.5652,0.057,0.0,0.0,0.64,1200,300
IMDB-MULTI,SVM,128,3,456,1500,3,0.4633,0.4612,0.6383,0.429,0.045,0.0,1.42,1200,300
IMDB-MULTI,MLP,128,3,456,1500,3,0.4633,0.4607,0.6152,0.272,0.001,0.0,0.77,1200,300
IMDB-MULTI,SVM,128,4,789,1500,3,0.4133,0.4089,0.5824,0.442,0.05,0.0,0.0,1200,300
IMDB-MULTI,MLP,128,4,789,1500,3,0.3833,0.3629,0.5988,0.214,0.0,0.0,0.03,1200,300
IMDB-MULTI,SVM,128,5,999,1500,3,0.4033,0.3985,0.5994,0.376,0.043,0.0,0.0,1200,300
IMDB-MULTI,MLP,128,5,999,1500,3,0.3167,0.3153,0.5359,0.069,0.0,0.0,0.0,1200,300
