Method,Dataset,Dim,Model,Accuracy,F1,AUC,TrainTime
NetLSD,ENZYMES,dim256,GradientBoosting,0.2916666666666667,0.292219768535558,0.6377499999999999,26.679249048233032
NetLSD,ENZYMES,dim256,MLP,0.225,0.20807489989075664,0.6218333333333333,0.3419966697692871
NetLSD,ENZYMES,dim256,Ensemble,0.2916666666666667,0.2907454334283603,0.6704166666666667,20.212380409240723
NetLSD,IMDB-MULTI,dim64,SVM,0.48,0.4772805453920005,0.6249333333333333,0.28405308723449707
NetLSD,IMDB-MULTI,dim64,LogisticRegression,0.4,0.3922271537498578,0.6107166666666667,0.011512279510498047
NetLSD,IMDB-MULTI,dim64,RandomForest,0.45666666666666667,0.45780147444044206,0.6426333333333333,0.31435513496398926
NetLSD,IMDB-MULTI,dim64,GradientBoosting,0.45,0.44772014311322694,0.6194166666666666,8.35031795501709
NetLSD,IMDB-MULTI,dim64,MLP,0.43,0.4267879826595423,0.61265,0.13714838027954102
NetLSD,IMDB-MULTI,dim64,Ensemble,0.4533333333333333,0.4533912574930963,0.6384500000000001,6.418655157089233
NetLSD,IMDB-MULTI,dim128,SVM,0.46,0.4604601840736295,0.6167166666666667,0.36230993270874023
NetLSD,IMDB-MULTI,dim128,LogisticRegression,0.39666666666666667,0.3913932976326259,0.5856833333333333,0.010302066802978516
NetLSD,IMDB-MULTI,dim128,RandomForest,0.4633333333333333,0.4651071608268833,0.6329,0.3507201671600342
NetLSD,IMDB-MULTI,dim128,GradientBoosting,0.42333333333333334,0.4219078063678591,0.5962999999999999,16.240978717803955
NetLSD,IMDB-MULTI,dim128,MLP,0.46,0.45911480352109396,0.6223,0.34758901596069336
NetLSD,IMDB-MULTI,dim128,Ensemble,0.42333333333333334,0.42430962824240637,0.6152166666666666,12.394746541976929
NetLSD,IMDB-MULTI,dim256,SVM,0.43,0.39728695260610153,0.5866999999999999,0.5520942211151123
NetLSD,IMDB-MULTI,dim256,LogisticRegression,0.43,0.4039872658660844,0.6179833333333333,0.09266018867492676
NetLSD,IMDB-MULTI,dim256,RandomForest,0.45666666666666667,0.45616605616605616,0.64755,0.32531094551086426
NetLSD,IMDB-MULTI,dim256,GradientBoosting,0.43333333333333335,0.43167405802951025,0.6178500000000001,16.458858489990234
NetLSD,IMDB-MULTI,dim256,MLP,0.43333333333333335,0.41119962067330484,0.6026166666666667,0.84627366065979
NetLSD,IMDB-MULTI,dim256,Ensemble,0.44666666666666666,0.4455229889201336,0.6379833333333332,12.639163494110107
