dataset,dim,epochs,lr,dropout,it_time_s,embed_time_s,total_time_s,train_acc,val_acc,test_acc,train_f1_macro,val_f1_macro,test_f1_macro,train_auc_macro,val_auc_macro,test_auc_macro,peak_tracemalloc_mb,rss_before_mb,rss_after_mb
IMDB-MULTI,256,200,0.0005,0.0,68.24629592895508,0.3132054805755615,68.55950140953064,0.5333333333333333,0.52,0.41333333333333333,0.5312513778613283,0.5183138520790607,0.405456095481671,0.7254557291666668,0.6867666666666666,0.5981,4.6477251052856445,1381.6484375,1381.6484375
IMDB-MULTI,256,200,0.0005,0.4,58.56529355049133,0.3133399486541748,58.87863349914551,0.5091666666666667,0.5133333333333333,0.5066666666666667,0.47129571718305896,0.4466851395730706,0.4724845153014477,0.7110697916666666,0.7102333333333334,0.6731000000000001,4.648209571838379,1381.6484375,1381.6484375
IMDB-MULTI,256,500,0.001,0.0,41.4727828502655,0.32160496711730957,41.79438781738281,0.49166666666666664,0.5066666666666667,0.4666666666666667,0.4853185547702141,0.4931218217981183,0.45085125448028673,0.6584526041666666,0.6588333333333333,0.6322,4.64700984954834,1381.6484375,1381.6484375
IMDB-MULTI,256,500,0.001,0.4,53.313145875930786,0.31167006492614746,53.624815940856934,0.43083333333333335,0.52,0.41333333333333333,0.41653724393079683,0.5148573544171873,0.386087829990269,0.6778817708333333,0.7031000000000001,0.6417333333333333,4.648561477661133,1381.6484375,1381.6484375
IMDB-MULTI,256,500,0.0005,0.0,90.68696737289429,0.3134620189666748,91.00042939186096,0.5566666666666666,0.5266666666666666,0.46,0.5532239522774539,0.5248514886287743,0.454788842798653,0.7403958333333334,0.6804666666666667,0.6084333333333333,4.6573076248168945,1381.6484375,1377.91796875
IMDB-MULTI,256,500,0.0005,0.4,79.67155146598816,0.30820250511169434,79.97975397109985,0.5458333333333333,0.5333333333333333,0.4533333333333333,0.5380304251605453,0.5212159419568547,0.4300293429230437,0.7235718749999999,0.7153333333333333,0.6424333333333333,4.652165412902832,1377.91796875,1381.66796875
MUTAG,64,200,0.001,0.0,9.499994039535522,0.04435539245605469,9.544349431991577,0.8,0.8421052631578947,0.7894736842105263,0.7356672932330828,0.7816091954022988,0.7285714285714285,0.9372152901564668,0.8974358974358975,0.7307692307692308,0.8587732315063477,657.65625,1315.65625
MUTAG,64,200,0.001,0.4,8.442524671554565,0.044171810150146484,8.486696481704712,0.84,0.7894736842105263,0.8421052631578947,0.8277511961722488,0.7738095238095238,0.8246153846153846,0.8942364824717767,0.7948717948717949,0.8846153846153847,0.5232057571411133,1315.90625,1326.15625
MUTAG,64,200,0.0005,0.0,5.608243465423584,0.04419541358947754,5.6524388790130615,0.74,0.9473684210526315,0.5789473684210527,0.7267759562841529,0.9415384615384615,0.5476190476190476,0.7975836799366213,0.9615384615384616,0.6410256410256411,0.537602424621582,1326.28125,1326.28125
MUTAG,64,200,0.0005,0.4,5.5360424518585205,0.04466652870178223,5.580708980560303,0.7133333333333334,0.7894736842105263,0.7368421052631579,0.5463816020817216,0.6833333333333333,0.5622119815668203,0.8970093087740146,0.7692307692307692,0.9102564102564102,0.5095653533935547,1326.28125,1326.65625
